,"20-25","25-30","30-35","35-40","55-60","60-65","65-70","70-75","75-80"
"cluster_0",1,2,3,0,0,2,2,0,0
"cluster_1",3,5,0,0,0,2,2,0,0
"cluster_2",73,51,10,1,0,1,1,3,0
"cluster_5",0,0,0,0,0,0,0,1,0
"cluster_7",2,3,0,0,1,8,5,10,2
